Text ID,model_label,ground_truth_label,Error Flag,full_response
ms-test-32,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-33,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-34,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-35,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-36,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-37,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-38,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-39,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-40,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-41,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-42,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-43,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-44,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-45,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-46,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-47,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-48,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-49,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-50,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-51,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-52,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-53,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-54,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-55,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-56,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-57,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-58,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-59,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-60,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
ms-test-61,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
ms-test-62,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-2,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-4,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-5,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-6,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-7,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-8,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-9,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-10,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-11,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-12,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-13,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-14,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-15,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-16,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-17,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-18,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-19,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-20,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-21,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-22,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-23,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-24,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-25,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-26,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-27,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-28,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-29,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-30,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-31,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-32,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-33,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-34,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-35,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-36,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-37,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-38,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-39,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-40,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-41,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-42,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-43,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-44,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-45,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-46,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-47,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-48,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-49,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-50,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-51,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-52,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-53,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-54,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-55,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-56,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-57,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-58,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-59,INCORRECT,CORRECT,0,"{""answer"": ""INCORRECT""}"
uw-test-60,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-61,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
uw-test-62,INCORRECT,INCORRECT,1,"{""answer"": ""INCORRECT""}"
